t,AcX,AcY,AcZ,GyX,GyY,GyZ
15.061,-0.932,-0.04,-0.125,-4.557,-0.725,1.573
15.113,-0.955,-0.05,-0.121,-3.42,-3.061,2.626
15.165,-0.919,-0.017,-0.126,-3.893,-1.969,3.145
15.217,-0.917,-0.068,-0.135,-3.58,-1.802,3.763
15.269,-0.92,-0.032,-0.136,-1.939,-2.115,3.809
15.321,-0.91,-0.028,-0.118,-1.534,-4.336,1.023
15.373,-0.94,-0.033,-0.126,-1.389,-2.634,0.733
15.425,-0.928,-0.023,-0.135,-2.542,-2.298,-0.962
15.478,-0.956,-0.026,-0.13,-1.947,-2.198,1.267
15.53,-0.941,-0.021,-0.162,-2.588,-0.473,-1.321
15.583,-0.964,-0.026,-0.152,-2.634,0.313,-1.107
15.635,-0.954,-0.027,-0.164,-3.725,-0.931,-2.069
15.688,-0.939,-0.026,-0.171,-5.176,-0.847,0.733
15.74,-0.962,-0.036,-0.158,-6.641,-2.351,0.29
15.792,-0.947,-0.012,-0.149,-6.985,-2.832,1.443
15.844,-0.937,-0.018,-0.151,-7.153,-2.527,2.458
15.896,-0.955,-0.027,-0.126,-8.725,-2.366,1.748
15.948,-0.933,-0.025,-0.131,-6.206,-3.336,2.359
16.001,-0.934,-0.022,-0.122,-8.45,-1.221,-0.496
16.053,-0.953,0.004,-0.099,-8.496,-0.557,-0.023
16.105,-0.958,-0.026,-0.104,-7.969,-0.489,-0.87
16.158,-0.954,0.001,-0.094,-6.466,0.756,1.489
16.208,-0.954,-0.038,-0.112,-6.992,0.481,0.473
16.259,-0.938,-0.005,-0.09,-6.908,0.771,-1.305
16.311,-0.944,-0.027,-0.075,-5.672,-1.695,-1.267
16.364,-0.963,-0.032,-0.07,-6.519,-4.046,-1.924
16.417,-0.959,-0.008,-0.051,-4.191,-8.061,2.229
16.47,-0.958,-0.03,-0.071,-4.16,-7.092,-2.771
16.522,-0.94,-0.021,-0.077,-1.641,-5.885,1.412
16.574,-0.922,-0.021,-0.093,-1.725,-3.176,-1.176
16.627,-0.942,-0.033,-0.097,-2.527,-1.71,-2.466
16.68,-0.93,-0.009,-0.082,-1.206,-0.634,0.221
16.733,-0.92,-0.003,-0.073,-1.115,-1.947,-0.985
16.785,-0.929,-0.029,-0.087,-1.252,-1.679,-4.275
16.838,-0.883,-0.001,-0.083,0.13,-1.588,-1.145
16.89,-0.927,-0.035,-0.097,1.672,0.053,-4.588
16.942,-0.925,-0.051,-0.111,-1.313,1.038,-2.267
16.993,-0.932,-0.023,-0.109,-1.802,0.366,-7.053
17.045,-0.952,-0.044,-0.097,-1.252,-3.145,-8.519
17.098,-0.968,-0.047,-0.086,-2.947,-4.595,-5.038
17.152,-0.98,-0.057,-0.094,-4.008,-1.908,-11.313
17.206,-0.965,-0.042,-0.096,-4.321,-1.015,0.71
17.257,-0.972,-0.055,-0.104,-8.282,-1.305,-9.344
17.31,-0.966,-0.036,-0.093,-6.817,-1.069,-5.405
17.363,-0.994,-0.059,-0.085,-6.122,-1.466,-5.626
17.417,-0.974,-0.072,-0.091,-1.214,1.092,-2.466
17.469,-0.96,-0.08,-0.1,-2.214,1.641,-2.489
17.52,-0.94,-0.072,-0.101,-2.588,2.641,-1.298
17.572,-0.935,-0.069,-0.1,-5.389,3.412,-2.885
17.625,-0.972,-0.083,-0.088,-3.534,4.405,-3.511
17.677,-0.956,-0.095,-0.104,-3.13,3.679,-0.092
17.729,-0.94,-0.078,-0.082,-3.802,4.405,0.695
17.779,-0.928,-0.088,-0.074,-3.618,3.389,-0.069
17.831,-0.95,-0.067,-0.05,-1.763,0.771,-1.473
17.884,-0.919,-0.082,-0.078,0.45,1.603,-5.634
17.935,-0.923,-0.095,-0.092,1.947,1.031,-4.298
17.985,-0.955,-0.082,-0.063,3.786,2.435,-4.756
18.036,-0.973,-0.103,-0.086,4.481,2.13,-5.58
18.087,-0.995,-0.101,-0.125,5.45,3.137,0.076
18.138,-0.972,-0.086,-0.147,2.641,2.183,-2.031
18.188,-0.958,-0.086,-0.164,-0.534,0.153,-0.061
18.24,-0.947,-0.09,-0.152,-0.435,2.023,-0.511
18.292,-0.901,-0.096,-0.187,-4.542,2.527,-5.786
18.344,-0.965,-0.099,-0.16,-4.153,-1.641,-0.947
18.398,-0.969,-0.119,-0.164,-5.237,-0.13,-0.031
18.45,-0.953,-0.118,-0.16,-3.634,-1.695,0.489
18.502,-0.928,-0.107,-0.171,-4.931,-2.115,-1.55
18.555,-0.964,-0.143,-0.18,-2.321,-3.351,-1.878
18.609,-0.975,-0.109,-0.151,-0.962,-2.672,1.511
18.661,-0.941,-0.114,-0.165,-0.908,-3.756,0.435
18.712,-0.94,-0.093,-0.15,-1.099,-1.282,3.687
18.764,-0.953,-0.105,-0.164,-0.061,-0.122,0.84
18.817,-0.934,-0.092,-0.157,-1.527,-0.374,1.145
18.869,-0.961,-0.09,-0.138,-1.397,-0.351,2.038
18.92,-0.962,-0.088,-0.129,1.504,-1.931,1.038
18.971,-0.937,-0.082,-0.147,-1.573,-0.359,-1.45
19.024,-0.928,-0.076,-0.143,-3.198,-2.115,-1.115
19.078,-0.953,-0.085,-0.12,-1.176,-2.198,-0.679
19.131,-0.951,-0.109,-0.136,0.527,-1.504,1.786
19.181,-0.941,-0.089,-0.133,-1.802,-1.824,-2.351
19.234,-0.932,-0.086,-0.126,-0.55,-0.855,1.344
