t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
2.067,-0.0508,0.0195,-0.0352,3,0.1707,0.9038,0.1540,-0.3609,2,0.1663,
2.078,-0.0508,0.0195,-0.0352,3,0.1706,0.9037,0.1541,-0.3611,2,0.1653,
2.088,-0.0508,0.0195,-0.0352,3,0.1705,0.9037,0.1540,-0.3611,2,0.1641,
2.099,-0.0508,0.0195,-0.0352,3,0.1705,0.9038,0.1541,-0.3611,2,0.1636,
2.110,-0.0508,0.0195,-0.0352,3,0.1704,0.9038,0.1541,-0.3611,2,0.1638,
2.120,-0.0352,0.0313,0.0156,3,0.1704,0.9038,0.1541,-0.3611,2,0.1638,
2.131,-0.0156,0.0078,-0.0195,3,0.1704,0.9038,0.1541,-0.3611,2,0.1638,
2.143,-0.0156,0.0078,-0.0195,3,0.1702,0.9038,0.1544,-0.3610,2,0.1641,
2.154,-0.0156,0.0078,-0.0195,3,0.1702,0.9037,0.1543,-0.3611,2,0.1636,
2.164,-0.0156,0.0078,-0.0195,3,0.1702,0.9037,0.1542,-0.3612,2,0.1624,
2.176,-0.0156,0.0078,-0.0195,3,0.1702,0.9037,0.1543,-0.3613,2,0.1619,
2.187,-0.0039,0.0000,0.0977,3,0.1702,0.9037,0.1543,-0.3613,2,0.1619,
2.197,-0.0039,0.0000,0.0977,3,0.1703,0.9036,0.1544,-0.3615,2,0.1621,
2.208,-0.0039,0.0000,0.0977,3,0.1703,0.9035,0.1543,-0.3617,2,0.1621,
2.219,-0.0039,0.0000,0.0977,3,0.1704,0.9034,0.1542,-0.3619,2,0.1624,
2.230,-0.0039,0.0000,0.0977,3,0.1705,0.9033,0.1542,-0.3621,2,0.1624,
2.240,-0.0039,0.0000,0.0977,3,0.1706,0.9033,0.1542,-0.3623,2,0.1624,
2.252,0.0117,0.0000,0.0742,3,0.1706,0.9033,0.1542,-0.3623,2,0.1624,
2.263,0.0117,0.0000,0.0742,3,0.1705,0.9031,0.1542,-0.3626,2,0.1626,
2.274,0.0117,0.0000,0.0742,3,0.1703,0.9031,0.1542,-0.3627,2,0.1626,
