t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
1.227,-0.0664,0.1758,-0.0117,3,0.8179,0.4412,0.1037,-0.3544,3,0.0676,
1.239,-0.0664,0.1758,-0.0117,3,0.8159,0.4448,0.1049,-0.3543,3,0.0671,
1.250,-0.0664,0.1758,-0.0117,3,0.8146,0.4470,0.1056,-0.3541,3,0.0669,
1.260,-0.0664,0.1758,-0.0117,3,0.8138,0.4483,0.1062,-0.3542,3,0.0667,
1.271,-0.0664,0.1758,-0.0117,3,0.8132,0.4491,0.1067,-0.3544,3,0.0664,
1.282,0.0195,0.0039,0.1016,3,0.8132,0.4491,0.1067,-0.3544,3,0.0664,
1.293,0.0664,-0.0508,0.0781,3,0.8132,0.4491,0.1067,-0.3544,3,0.0664,
1.304,0.0664,-0.0508,0.0781,3,0.8109,0.4529,0.1077,-0.3547,3,0.0657,
1.314,0.0664,-0.0508,0.0781,3,0.8100,0.4543,0.1081,-0.3547,3,0.0654,
1.326,0.0664,-0.0508,0.0781,3,0.8091,0.4557,0.1086,-0.3548,3,0.0652,
1.337,0.0664,-0.0508,0.0781,3,0.8080,0.4575,0.1094,-0.3549,3,0.0649,
1.348,0.0508,0.0156,-0.0313,3,0.8080,0.4575,0.1094,-0.3549,3,0.0649,
1.358,0.0508,0.0156,-0.0313,3,0.8058,0.4600,0.1115,-0.3558,3,0.0645,
1.370,0.0508,0.0156,-0.0313,3,0.8049,0.4612,0.1125,-0.3560,3,0.0642,
1.381,0.0508,0.0156,-0.0313,3,0.8036,0.4629,0.1139,-0.3564,3,0.0642,
1.391,-0.2344,0.1094,-0.2305,3,0.8036,0.4629,0.1139,-0.3564,3,0.0642,
1.402,-0.6289,0.2813,-0.1094,3,0.8036,0.4629,0.1139,-0.3564,3,0.0642,
1.414,-0.6289,0.2813,-0.1094,3,0.7888,0.4850,0.1261,-0.3558,3,0.0640,
1.424,-0.6289,0.2813,-0.1094,3,0.7800,0.4980,0.1333,-0.3546,3,0.0640,
1.435,-0.6289,0.2813,-0.1094,3,0.7678,0.5154,0.1439,-0.3524,3,0.0642,
1.446,-0.6289,0.2813,-0.1094,3,0.7526,0.5351,0.1573,-0.3500,3,0.0647,
1.458,-0.0039,-0.1406,0.1250,3,0.7526,0.5351,0.1573,-0.3500,3,0.0647,
1.468,-0.0039,-0.1406,0.1250,3,0.7087,0.5809,0.1948,-0.3499,3,0.0659,
1.479,-0.0039,-0.1406,0.1250,3,0.6938,0.5920,0.2047,-0.3553,3,0.0662,
1.489,-0.0039,-0.1406,0.1250,3,0.6830,0.5986,0.2117,-0.3611,3,0.0662,
1.501,-0.0039,-0.1406,0.1250,3,0.6746,0.6039,0.2167,-0.3651,3,0.0659,
1.511,0.0430,0.1992,-0.1719,3,0.6746,0.6039,0.2167,-0.3651,3,0.0659,
1.522,-0.2227,-0.0078,-0.1016,3,0.6746,0.6039,0.2167,-0.3651,3,0.0659,
1.533,0.0273,-0.0195,0.0977,3,0.6746,0.6039,0.2167,-0.3651,3,0.0659,
1.545,0.0273,-0.0195,0.0977,3,0.6443,0.6242,0.2324,-0.3758,3,0.0654,
1.556,0.0273,-0.0195,0.0977,3,0.6368,0.6298,0.2358,-0.3772,3,0.0654,
1.566,-0.0078,-0.1523,-0.1406,3,0.6368,0.6298,0.2358,-0.3772,3,0.0654,
1.577,0.1016,0.0664,-0.1328,3,0.6368,0.6298,0.2358,-0.3772,3,0.0654,
1.588,0.1016,0.0664,-0.1328,3,0.6109,0.6478,0.2485,-0.3812,3,0.0652,
1.599,0.1016,0.0664,-0.1328,3,0.6046,0.6516,0.2516,-0.3829,3,0.0652,
1.609,0.1016,0.0664,-0.1328,3,0.5997,0.6541,0.2543,-0.3845,3,0.0649,
1.620,0.1016,0.0664,-0.1328,3,0.5963,0.6556,0.2560,-0.3860,3,0.0649,
1.631,0.1016,0.0664,-0.1328,3,0.5941,0.6566,0.2565,-0.3876,3,0.0647,
1.643,0.0117,0.0586,-0.0117,3,0.5941,0.6566,0.2565,-0.3876,3,0.0647,
1.653,0.0117,0.0586,-0.0117,3,0.5897,0.6588,0.2571,-0.3901,3,0.0642,
1.664,0.0117,0.0586,-0.0117,3,0.5884,0.6595,0.2576,-0.3904,3,0.0640,
1.676,0.0117,0.0586,-0.0117,3,0.5870,0.6602,0.2583,-0.3909,3,0.0640,
1.686,-0.3242,-0.0625,-0.1680,3,0.5870,0.6602,0.2583,-0.3909,3,0.0640,
1.696,-0.1172,-0.0430,-0.0273,3,0.5870,0.6602,0.2583,-0.3909,3,0.0640,
1.708,-0.1172,-0.0430,-0.0273,3,0.5786,0.6650,0.2642,-0.3914,3,0.0635,
1.719,-0.1172,-0.0430,-0.0273,3,0.5756,0.6669,0.2664,-0.3909,3,0.0632,
1.729,-0.1172,-0.0430,-0.0273,3,0.5729,0.6687,0.2687,-0.3904,3,0.0632,
1.739,-0.1172,-0.0430,-0.0273,3,0.5700,0.6706,0.2710,-0.3899,3,0.0630,
1.751,-0.1172,-0.0430,-0.0273,3,0.5672,0.6724,0.2734,-0.3892,3,0.0630,
1.762,-0.2773,0.0391,0.1055,3,0.5672,0.6724,0.2734,-0.3892,3,0.0630,
1.773,-0.3008,0.0586,0.2227,3,0.5672,0.6724,0.2734,-0.3892,3,0.0630,
1.784,-0.3008,0.0586,0.2227,3,0.5568,0.6796,0.2832,-0.3848,3,0.0625,
1.795,-0.3008,0.0586,0.2227,3,0.5537,0.6819,0.2861,-0.3829,3,0.0625,
1.805,-0.3008,0.0586,0.2227,3,0.5502,0.6846,0.2891,-0.3807,3,0.0625,
1.816,-0.4570,0.1055,-0.2227,3,0.5502,0.6846,0.2891,-0.3807,3,0.0625,
1.825,-0.1406,-0.0820,-0.0938,3,0.5502,0.6846,0.2891,-0.3807,3,0.0625,
1.838,-0.1406,-0.0820,-0.0938,3,0.5398,0.6925,0.3002,-0.3728,3,0.0625,
1.849,-0.1406,-0.0820,-0.0938,3,0.5336,0.6973,0.3069,-0.3672,3,0.0630,
1.859,-0.1406,-0.0820,-0.0938,3,0.5283,0.7017,0.3120,-0.3621,3,0.0630,
1.870,-0.1406,-0.0820,-0.0938,3,0.5240,0.7050,0.3171,-0.3575,3,0.0630,
1.882,-0.1406,-0.0820,-0.0938,3,0.5189,0.7092,0.3227,-0.3516,3,0.0630,
1.893,-0.3320,-0.3789,0.0313,3,0.5189,0.7092,0.3227,-0.3516,3,0.0630,
1.904,-0.3320,-0.3789,0.0313,3,0.5048,0.7212,0.3362,-0.3347,3,0.0632,
1.914,-0.3320,-0.3789,0.0313,3,0.4987,0.7264,0.3424,-0.3262,3,0.0635,
1.925,-0.3320,-0.3789,0.0313,3,0.4932,0.7311,0.3474,-0.3186,3,0.0635,
1.937,-0.3320,-0.3789,0.0313,3,0.4877,0.7358,0.3519,-0.3114,3,0.0637,
1.948,-0.2852,-0.0273,-0.0742,3,0.4877,0.7358,0.3519,-0.3114,3,0.0637,
1.959,-0.2852,-0.0273,-0.0742,3,0.4728,0.7476,0.3632,-0.2927,3,0.0647,
1.970,-0.2852,-0.0273,-0.0742,3,0.4664,0.7526,0.3667,-0.2856,3,0.0647,
1.981,-0.2852,-0.0273,-0.0742,3,0.4595,0.7577,0.3701,-0.2790,3,0.0647,
1.992,-0.2461,-0.0078,-0.1875,3,0.4595,0.7577,0.3701,-0.2790,3,0.0647,
2.003,-0.2461,-0.0078,-0.1875,3,0.4425,0.7679,0.3796,-0.2654,3,0.0647,
2.014,-0.2461,-0.0078,-0.1875,3,0.4357,0.7717,0.3841,-0.2592,3,0.0647,
2.024,-0.2461,-0.0078,-0.1875,3,0.4288,0.7756,0.3884,-0.2525,3,0.0649,
2.035,-0.2461,-0.0078,-0.1875,3,0.4210,0.7798,0.3931,-0.2452,3,0.0649,
2.046,-0.1680,-0.0742,-0.0195,3,0.4210,0.7798,0.3931,-0.2452,3,0.0649,
2.058,-0.1680,-0.0742,-0.0195,3,0.4025,0.7888,0.4040,-0.2292,3,0.0659,
2.069,-0.1680,-0.0742,-0.0195,3,0.3957,0.7919,0.4080,-0.2234,3,0.0659,
2.079,-0.1680,-0.0742,-0.0195,3,0.3876,0.7955,0.4127,-0.2156,3,0.0659,
2.091,-0.1680,-0.0742,-0.0195,3,0.3787,0.7997,0.4175,-0.2068,3,0.0662,
2.100,0.1445,-0.1445,-0.1289,3,0.3787,0.7997,0.4175,-0.2068,3,0.0662,
2.112,0.1445,-0.1445,-0.1289,3,0.3610,0.8073,0.4265,-0.1900,3,0.0664,
2.122,0.1445,-0.1445,-0.1289,3,0.3488,0.8122,0.4320,-0.1789,3,0.0671,
2.134,0.1445,-0.1445,-0.1289,3,0.3417,0.8149,0.4353,-0.1724,3,0.0671,
2.145,0.1445,-0.1445,-0.1289,3,0.3343,0.8177,0.4382,-0.1660,3,0.0674,
2.155,-0.1836,-0.2109,0.3164,3,0.3343,0.8177,0.4382,-0.1660,3,0.0674,
2.166,-0.2383,0.0664,0.3828,3,0.3343,0.8177,0.4382,-0.1660,3,0.0674,
2.178,-0.2383,0.0664,0.3828,3,0.3061,0.8281,0.4470,-0.1443,3,0.0676,
2.188,-0.2383,0.0664,0.3828,3,0.2990,0.8308,0.4487,-0.1384,3,0.0676,
2.198,-0.2383,0.0664,0.3828,3,0.2924,0.8333,0.4500,-0.1328,3,0.0679,
2.208,-0.2383,0.0664,0.3828,3,0.2867,0.8354,0.4511,-0.1283,3,0.0679,
2.219,-0.2383,0.0664,0.3828,3,0.2817,0.8373,0.4518,-0.1245,3,0.0679,
2.230,-0.2383,0.0664,0.3828,3,0.2769,0.8391,0.4523,-0.1208,3,0.0681,
2.242,0.1133,-0.2656,0.2813,3,0.2769,0.8391,0.4523,-0.1208,3,0.0681,
2.252,0.1133,-0.2656,0.2813,3,0.2656,0.8431,0.4540,-0.1124,3,0.0679,
2.264,0.1133,-0.2656,0.2813,3,0.2614,0.8444,0.4546,-0.1091,3,0.0676,
2.274,0.1133,-0.2656,0.2813,3,0.2574,0.8457,0.4553,-0.1059,3,0.0674,
2.285,0.1133,-0.2656,0.2813,3,0.2540,0.8467,0.4559,-0.1033,3,0.0674,
2.296,-0.1172,-0.1250,0.1406,3,0.2540,0.8467,0.4559,-0.1033,3,0.0674,
2.307,-0.1172,-0.1250,0.1406,3,0.2478,0.8483,0.4575,-0.0987,3,0.0669,
2.318,-0.1172,-0.1250,0.1406,3,0.2460,0.8486,0.4582,-0.0970,3,0.0667,
2.328,-0.1172,-0.1250,0.1406,3,0.2444,0.8489,0.4589,-0.0953,3,0.0667,
2.338,-0.1172,-0.1250,0.1406,3,0.2427,0.8493,0.4594,-0.0937,3,0.0664,
2.350,-0.1172,-0.1250,0.1406,3,0.2414,0.8497,0.4595,-0.0925,3,0.0662,
2.361,-0.1172,-0.1250,0.1406,3,0.2399,0.8502,0.4596,-0.0913,3,0.0659,
2.371,0.0703,-0.3594,0.0781,3,0.2399,0.8502,0.4596,-0.0913,3,0.0659,
2.382,0.0703,-0.3594,0.0781,3,0.2354,0.8518,0.4598,-0.0870,3,0.0657,
2.393,0.0703,-0.3594,0.0781,3,0.2335,0.8525,0.4599,-0.0851,3,0.0657,
2.404,0.0703,-0.3594,0.0781,3,0.2317,0.8534,0.4595,-0.0829,3,0.0657,
2.415,0.0703,-0.3594,0.0781,3,0.2307,0.8541,0.4589,-0.0815,3,0.0657,
2.426,0.2305,-0.1875,-0.1484,3,0.2307,0.8541,0.4589,-0.0815,3,0.0657,
2.437,0.2305,-0.1875,-0.1484,3,0.2303,0.8550,0.4575,-0.0812,3,0.0652,
2.448,0.2305,-0.1875,-0.1484,3,0.2307,0.8550,0.4572,-0.0817,3,0.0649,
2.458,0.2305,-0.1875,-0.1484,3,0.2310,0.8550,0.4568,-0.0823,3,0.0649,
2.469,0.2305,-0.1875,-0.1484,3,0.2314,0.8550,0.4567,-0.0831,3,0.0649,
2.481,-0.0039,-0.2617,0.0859,3,0.2314,0.8550,0.4567,-0.0831,3,0.0649,
2.492,0.1289,-0.1914,0.0977,3,0.2314,0.8550,0.4567,-0.0831,3,0.0649,
2.503,0.1289,-0.1914,0.0977,3,0.2329,0.8545,0.4562,-0.0865,3,0.0645,
2.514,0.1289,-0.1914,0.0977,3,0.2335,0.8542,0.4561,-0.0878,3,0.0642,
2.525,0.1758,-0.0156,-0.1211,3,0.2335,0.8542,0.4561,-0.0878,3,0.0642,
2.535,-0.0781,-0.0586,-0.1914,3,0.2335,0.8542,0.4561,-0.0878,3,0.0642,
2.546,-0.0781,-0.0586,-0.1914,3,0.2378,0.8521,0.4564,-0.0957,3,0.0637,
2.557,-0.0781,-0.0586,-0.1914,3,0.2391,0.8514,0.4565,-0.0979,3,0.0637,
2.568,-0.0781,-0.0586,-0.1914,3,0.2399,0.8510,0.4566,-0.0993,3,0.0637,
2.579,-0.0781,-0.0586,-0.1914,3,0.2405,0.8506,0.4566,-0.1004,3,0.0635,
2.590,-0.0781,-0.0586,-0.1914,3,0.2411,0.8504,0.4565,-0.1013,3,0.0635,
2.600,-0.1211,-0.0391,-0.1914,3,0.2411,0.8504,0.4565,-0.1013,3,0.0635,
2.612,-0.0664,-0.0313,-0.2383,3,0.2411,0.8504,0.4565,-0.1013,3,0.0635,
2.623,-0.0664,-0.0313,-0.2383,3,0.2424,0.8503,0.4557,-0.1030,3,0.0630,
2.633,-0.0664,-0.0313,-0.2383,3,0.2424,0.8505,0.4554,-0.1029,3,0.0630,
2.644,-0.0664,-0.0313,-0.2383,3,0.2422,0.8508,0.4549,-0.1027,3,0.0627,
2.656,0.1680,-0.2578,0.0078,3,0.2422,0.8508,0.4549,-0.1027,3,0.0627,
2.667,0.1680,-0.2578,0.0078,3,0.2424,0.8511,0.4542,-0.1027,3,0.0625,
2.678,0.1680,-0.2578,0.0078,3,0.2426,0.8512,0.4540,-0.1027,3,0.0623,
2.689,0.1680,-0.2578,0.0078,3,0.2428,0.8512,0.4538,-0.1028,3,0.0623,
2.699,-0.1172,-0.0820,-0.0898,3,0.2428,0.8512,0.4538,-0.1028,3,0.0623,
2.710,-0.2813,0.0547,-0.1523,3,0.2428,0.8512,0.4538,-0.1028,3,0.0623,
2.721,-0.2813,0.0547,-0.1523,3,0.2436,0.8515,0.4528,-0.1029,3,0.0618,
2.732,-0.2813,0.0547,-0.1523,3,0.2440,0.8518,0.4521,-0.1027,3,0.0618,
2.743,-0.2813,0.0547,-0.1523,3,0.2442,0.8521,0.4515,-0.1025,3,0.0615,
2.754,-0.2813,0.0547,-0.1523,3,0.2447,0.8522,0.4510,-0.1028,3,0.0615,
2.764,0.1523,-0.1914,-0.1563,3,0.2447,0.8522,0.4510,-0.1028,3,0.0615,
2.776,0.1133,-0.2734,0.0273,3,0.2447,0.8522,0.4510,-0.1028,3,0.0615,
2.787,0.1133,-0.2734,0.0273,3,0.2477,0.8516,0.4497,-0.1057,3,0.0610,
2.797,0.1133,-0.2734,0.0273,3,0.2487,0.8513,0.4495,-0.1068,3,0.0610,
2.808,0.1133,-0.2734,0.0273,3,0.2498,0.8510,0.4492,-0.1081,3,0.0610,
2.819,0.1133,-0.2734,0.0273,3,0.2507,0.8506,0.4491,-0.1093,3,0.0610,
2.829,0.1133,-0.2734,0.0273,3,0.2517,0.8502,0.4490,-0.1105,3,0.0610,
2.841,0.0352,-0.2422,-0.0117,3,0.2517,0.8502,0.4490,-0.1105,3,0.0610,
2.851,0.0352,-0.2422,-0.0117,3,0.2546,0.8487,0.4493,-0.1143,3,0.0608,
2.863,0.0352,-0.2422,-0.0117,3,0.2563,0.8477,0.4495,-0.1164,3,0.0608,
2.873,0.0352,-0.2422,-0.0117,3,0.2587,0.8464,0.4499,-0.1194,3,0.0608,
2.884,0.0352,-0.2422,-0.0117,3,0.2622,0.8445,0.4502,-0.1239,3,0.0608,
2.895,0.2305,-0.2500,0.2461,3,0.2622,0.8445,0.4502,-0.1239,3,0.0608,
2.906,0.2305,-0.2500,0.2461,3,0.2746,0.8394,0.4485,-0.1373,3,0.0610,
2.917,0.2305,-0.2500,0.2461,3,0.2775,0.8382,0.4480,-0.1406,3,0.0610,
2.927,0.2305,-0.2500,0.2461,3,0.2866,0.8344,0.4462,-0.1502,3,0.0615,
2.938,0.2305,-0.2500,0.2461,3,0.2933,0.8315,0.4448,-0.1570,3,0.0618,
2.949,0.2305,-0.2500,0.2461,3,0.3003,0.8282,0.4438,-0.1644,3,0.0618,
2.959,0.0547,0.0039,-0.1445,3,0.3003,0.8282,0.4438,-0.1644,3,0.0618,
2.971,-0.0703,0.1914,-0.3711,3,0.3003,0.8282,0.4438,-0.1644,3,0.0618,
2.981,-0.0703,0.1914,-0.3711,3,0.3318,0.8118,0.4412,-0.1904,3,0.0623,
2.992,-0.0703,0.1914,-0.3711,3,0.3405,0.8074,0.4402,-0.1960,3,0.0623,
3.003,-0.0703,0.1914,-0.3711,3,0.3480,0.8055,0.4366,-0.1987,3,0.0623,
