t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
2.472,-0.0820,-0.0820,-0.0508,3,0.1833,0.9072,0.1255,-0.3573,2,0.2126,
2.484,-0.0820,-0.0820,-0.0508,3,0.1834,0.9071,0.1255,-0.3574,2,0.2126,
2.494,-0.0820,-0.0820,-0.0508,3,0.1835,0.9071,0.1254,-0.3575,2,0.2129,
2.505,-0.0820,-0.0820,-0.0508,3,0.1837,0.9070,0.1252,-0.3576,2,0.2129,
2.516,0.1367,-0.0156,0.0273,3,0.1837,0.9070,0.1252,-0.3576,2,0.2129,
2.528,0.1367,-0.0156,0.0273,3,0.1837,0.9071,0.1248,-0.3576,2,0.2131,
2.538,0.1367,-0.0156,0.0273,3,0.1837,0.9071,0.1246,-0.3576,2,0.2131,
2.549,0.1367,-0.0156,0.0273,3,0.1837,0.9071,0.1245,-0.3577,2,0.2131,
2.560,0.1367,-0.0156,0.0273,3,0.1837,0.9070,0.1243,-0.3579,2,0.2131,
2.571,0.1367,-0.0156,0.0273,3,0.1837,0.9070,0.1243,-0.3580,2,0.2134,
2.582,-0.0547,0.0586,-0.0078,3,0.1837,0.9070,0.1243,-0.3580,2,0.2134,
2.593,-0.0547,0.0586,-0.0078,3,0.1835,0.9070,0.1242,-0.3582,2,0.2134,
2.604,-0.0547,0.0586,-0.0078,3,0.1834,0.9070,0.1241,-0.3583,2,0.2134,
2.615,-0.0547,0.0586,-0.0078,3,0.1835,0.9069,0.1241,-0.3584,2,0.2136,
2.625,-0.0547,0.0586,-0.0078,3,0.1834,0.9069,0.1241,-0.3585,2,0.2124,
2.637,-0.1133,-0.0469,-0.1445,3,0.1834,0.9069,0.1241,-0.3585,2,0.2124,
2.649,-0.1133,-0.0469,-0.1445,3,0.1832,0.9070,0.1240,-0.3585,2,0.2087,
2.659,-0.1133,-0.0469,-0.1445,3,0.1830,0.9070,0.1240,-0.3584,2,0.2090,
2.669,-0.1133,-0.0469,-0.1445,3,0.1829,0.9070,0.1240,-0.3585,2,0.2090,
2.680,-0.1133,-0.0469,-0.1445,3,0.1828,0.9070,0.1238,-0.3585,2,0.2090,
2.692,0.2031,0.0352,-0.0273,3,0.1828,0.9070,0.1238,-0.3585,2,0.2090,
2.703,0.2031,0.0352,-0.0273,3,0.1827,0.9070,0.1232,-0.3588,2,0.2031,
2.713,0.2031,0.0352,-0.0273,3,0.1827,0.9070,0.1229,-0.3589,2,0.2014,
2.724,0.2031,0.0352,-0.0273,3,0.1827,0.9070,0.1229,-0.3588,2,0.2004,
2.735,0.2031,0.0352,-0.0273,3,0.1826,0.9071,0.1229,-0.3588,2,0.2004,
2.746,0.0273,-0.0273,-0.0898,3,0.1826,0.9071,0.1229,-0.3588,2,0.2004,
2.757,0.0273,-0.0273,-0.0898,3,0.1825,0.9072,0.1227,-0.3588,2,0.2007,
2.767,0.0273,-0.0273,-0.0898,3,0.1824,0.9072,0.1226,-0.3587,2,0.2007,
2.779,0.0273,-0.0273,-0.0898,3,0.1824,0.9072,0.1226,-0.3586,2,0.2009,
2.789,0.0273,-0.0273,-0.0898,3,0.1824,0.9073,0.1226,-0.3584,2,0.1990,
2.799,0.0273,-0.0273,-0.0898,3,0.1823,0.9074,0.1226,-0.3582,2,0.1970,
2.810,0.0273,-0.0273,-0.0898,3,0.1823,0.9075,0.1226,-0.3580,2,0.1970,
2.822,-0.0742,0.0156,-0.0313,3,0.1823,0.9075,0.1226,-0.3580,2,0.1970,
2.833,-0.0742,0.0156,-0.0313,3,0.1821,0.9077,0.1229,-0.3575,2,0.1973,
2.843,-0.0742,0.0156,-0.0313,3,0.1820,0.9078,0.1230,-0.3572,2,0.1973,
2.853,-0.0742,0.0156,-0.0313,3,0.1819,0.9080,0.1231,-0.3569,2,0.1975,
2.864,-0.0742,0.0156,-0.0313,3,0.1818,0.9080,0.1232,-0.3568,2,0.1975,
2.875,-0.0742,0.0156,-0.0313,3,0.1818,0.9080,0.1233,-0.3566,2,0.1975,
2.887,0.0977,0.0078,0.0820,3,0.1818,0.9080,0.1233,-0.3566,2,0.1975,
2.897,0.0977,0.0078,0.0820,3,0.1820,0.9081,0.1234,-0.3564,2,0.1978,
2.909,0.0977,0.0078,0.0820,3,0.1821,0.9081,0.1234,-0.3564,2,0.1978,
2.920,0.0977,0.0078,0.0820,3,0.1822,0.9081,0.1234,-0.3563,2,0.1978,
2.930,-0.0898,-0.0313,0.0352,3,0.1822,0.9081,0.1234,-0.3563,2,0.1978,
2.941,-0.1250,-0.0391,-0.0352,3,0.1822,0.9081,0.1234,-0.3563,2,0.1978,
2.953,-0.1250,-0.0391,-0.0352,3,0.1822,0.9083,0.1234,-0.3557,2,0.1938,
2.963,-0.1250,-0.0391,-0.0352,3,0.1821,0.9084,0.1235,-0.3555,2,0.1941,
2.974,-0.1250,-0.0391,-0.0352,3,0.1820,0.9084,0.1235,-0.3554,2,0.1941,
2.985,0.0039,0.0313,0.1328,3,0.1820,0.9084,0.1235,-0.3554,2,0.1941,
2.997,-0.0273,0.0781,0.0703,3,0.1820,0.9084,0.1235,-0.3554,2,0.1941,
3.008,-0.0273,0.0781,0.0703,3,0.1813,0.9090,0.1240,-0.3542,2,0.1943,
3.018,-0.0273,0.0781,0.0703,3,0.1807,0.9094,0.1242,-0.3534,2,0.1943,
3.028,-0.0273,0.0781,0.0703,3,0.1793,0.9103,0.1246,-0.3516,2,0.1946,
3.040,-0.0273,0.0781,0.0703,3,0.1784,0.9109,0.1249,-0.3505,2,0.1946,
3.051,-0.0469,0.0664,-0.0273,3,0.1784,0.9109,0.1249,-0.3505,2,0.1946,
3.062,-0.0469,0.0664,-0.0273,3,0.1766,0.9120,0.1255,-0.3483,2,0.1948,
3.073,-0.0469,0.0664,-0.0273,3,0.1765,0.9122,0.1257,-0.3478,2,0.1948,
