t,AcX,AcY,AcZ,GyX,GyY,GyZ
10.594,-0.571,-0.069,-0.924,-2.878,-0.931,-0.527
10.647,-0.571,-0.069,-0.935,-2.817,-0.817,-0.344
10.7,-0.567,-0.073,-0.929,-2.794,-1.107,-0.427
10.754,-0.569,-0.068,-0.932,-2.794,-0.511,0.137
10.806,-0.571,-0.062,-0.943,-2.863,-1.137,-2.366
10.858,-0.565,-0.074,-0.939,-2.527,-0.42,0.305
10.91,-0.566,-0.072,-0.93,-2.878,-1.366,-0.405
10.963,-0.575,-0.065,-0.927,-2.908,-0.74,0.321
11.016,-0.573,-0.062,-0.932,-2.931,-1.191,-1.168
11.068,-0.572,-0.065,-0.922,-2.748,-0.977,-0.534
11.121,-0.568,-0.068,-0.925,-2.794,-0.763,-0.565
11.174,-0.565,-0.066,-0.934,-3.046,-0.725,0.473
11.227,-0.572,-0.061,-0.927,-2.695,-1.298,-1.168
11.28,-0.567,-0.069,-0.93,-2.733,-0.992,-0.672
11.332,-0.565,-0.068,-0.931,-2.763,-0.779,-0.435
11.385,-0.564,-0.071,-0.927,-2.725,-0.771,-0.221
11.439,-0.571,-0.068,-0.934,-2.779,-0.534,-0.038
11.492,-0.566,-0.07,-0.931,-2.794,-1.099,-1.473
11.545,-0.57,-0.066,-0.932,-2.794,-0.74,0.252
11.596,-0.565,-0.066,-0.928,-2.702,-0.756,-0.061
11.65,-0.562,-0.067,-0.931,-2.878,-1.244,-1.519
11.703,-0.566,-0.066,-0.927,-2.794,-0.771,0.031
11.755,-0.567,-0.067,-0.937,-2.786,-0.786,-0.504
11.808,-0.561,-0.063,-0.927,-2.733,-0.725,-0.519
11.861,-0.567,-0.069,-0.93,-2.672,-0.824,0.26
11.913,-0.573,-0.065,-0.931,-2.756,-0.908,-0.641
11.966,-0.572,-0.067,-0.935,-2.779,-0.824,-0.595
12.019,-0.566,-0.071,-0.939,-2.763,-0.985,-0.649
12.072,-0.573,-0.067,-0.923,-2.74,-0.573,0.74
