t,AcX,AcY,AcZ,
39.264,0.000,0.016,0.016,
39.363,-0.039,-0.020,-0.023,
39.462,-0.023,0.023,0.016,
39.563,0.016,0.016,0.008,
39.662,-0.016,0.016,0.008,
39.762,0.039,0.008,0.008,
39.862,0.031,0.000,0.000,
39.962,0.023,-0.035,0.000,
40.061,-0.023,0.008,-0.039,
40.162,-0.016,0.008,-0.023,
40.262,0.023,0.008,-0.016,
40.361,-0.016,0.000,0.023,
40.463,0.023,0.000,-0.016,
40.561,0.016,0.008,-0.016,
40.660,0.016,0.008,0.023,
40.761,0.008,0.008,-0.016,
40.861,0.000,0.016,0.016,
40.961,-0.039,0.016,0.016,
41.061,-0.023,0.008,-0.031,
41.161,-0.016,0.008,0.008,
41.260,-0.008,0.008,0.008,
41.360,0.031,-0.035,0.008,
41.459,0.031,0.008,0.000,
41.560,-0.016,0.008,0.008,
41.659,0.016,0.008,-0.023,
41.759,0.047,0.008,0.016,
41.861,-0.008,0.008,0.008,
41.959,0.031,0.000,0.008,
42.058,-0.016,0.000,0.000,
42.159,-0.008,0.008,-0.031,
42.258,-0.008,0.008,0.008,
42.358,0.000,-0.027,0.008,
42.458,-0.008,0.016,0.008,
42.558,0.031,0.008,0.000,
42.657,-0.016,-0.035,0.000,
42.758,-0.008,0.016,0.000,
42.858,-0.008,0.008,0.000,
42.957,0.000,0.016,0.000,
43.057,0.000,0.008,0.000,
43.157,0.000,0.008,0.000,
43.256,0.000,0.008,0.000,
