t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
1.773,0.5195,0.0156,-0.3789,3,0.2981,0.7917,0.4713,-0.2494,3,0.0828,
1.784,0.5195,0.0156,-0.3789,3,0.2980,0.7915,0.4716,-0.2497,3,0.0823,
1.795,0.5195,0.0156,-0.3789,3,0.2981,0.7914,0.4716,-0.2499,3,0.0823,
1.805,0.5195,0.0156,-0.3789,3,0.2982,0.7912,0.4718,-0.2500,3,0.0820,
1.816,0.5195,0.0156,-0.3789,3,0.2981,0.7910,0.4722,-0.2500,3,0.0818,
1.827,0.0234,0.0625,0.1680,3,0.2981,0.7910,0.4722,-0.2500,3,0.0818,
1.839,0.0234,0.0625,0.1680,3,0.2985,0.7900,0.4736,-0.2499,3,0.0813,
1.850,0.0234,0.0625,0.1680,3,0.2987,0.7897,0.4741,-0.2499,3,0.0813,
1.860,0.0234,0.0625,0.1680,3,0.2989,0.7894,0.4745,-0.2499,3,0.0811,
1.871,0.0234,0.0625,0.1680,3,0.2991,0.7891,0.4748,-0.2500,3,0.0808,
1.883,0.1602,0.1133,-0.1445,3,0.2991,0.7891,0.4748,-0.2500,3,0.0808,
1.893,0.1602,0.1133,-0.1445,3,0.2989,0.7886,0.4756,-0.2501,3,0.0806,
1.904,0.1602,0.1133,-0.1445,3,0.2988,0.7886,0.4756,-0.2502,3,0.0803,
1.914,0.1602,0.1133,-0.1445,3,0.2988,0.7886,0.4756,-0.2503,3,0.0801,
1.925,0.1602,0.1133,-0.1445,3,0.2989,0.7886,0.4756,-0.2502,3,0.0801,
1.936,0.1602,0.1133,-0.1445,3,0.2991,0.7885,0.4757,-0.2501,3,0.0798,
1.947,-0.2500,0.1094,-0.1211,3,0.2991,0.7885,0.4757,-0.2501,3,0.0798,
1.958,-0.2500,0.1094,-0.1211,3,0.2991,0.7887,0.4759,-0.2490,3,0.0796,
1.970,-0.2500,0.1094,-0.1211,3,0.2989,0.7889,0.4758,-0.2486,3,0.0793,
